trial_id,case_id,category,repetition,status,issue_code,classification_correct,task_success,correct_rejection,attempt_count,model_latency_ms,end_to_end_latency_ms
AM01-r01,AM01,ambiguous,1,planner_rejected,,True,False,True,1,214.711,214.831
AM01-r02,AM01,ambiguous,2,planner_rejected,,True,False,True,1,560.854,560.968
AM01-r03,AM01,ambiguous,3,planner_rejected,,True,False,True,1,247.968,248.137
AM01-r04,AM01,ambiguous,4,planner_rejected,,True,False,True,1,233.629,233.754
AM01-r05,AM01,ambiguous,5,planner_rejected,,True,False,True,1,264.177,264.293
AM02-r01,AM02,ambiguous,1,planner_rejected,,True,False,True,1,262.83,262.956
AM02-r02,AM02,ambiguous,2,planner_rejected,,True,False,True,1,252.126,252.414
AM02-r03,AM02,ambiguous,3,planner_rejected,,True,False,True,1,266.465,266.637
AM02-r04,AM02,ambiguous,4,planner_rejected,,True,False,True,1,271.132,271.275
AM02-r05,AM02,ambiguous,5,planner_rejected,,True,False,True,1,257.406,257.528
AM03-r01,AM03,ambiguous,1,executed,,False,False,False,1,523.274,523.581
AM03-r02,AM03,ambiguous,2,planner_rejected,,True,False,True,1,294.053,294.17
AM03-r03,AM03,ambiguous,3,planner_rejected,,True,False,True,1,843.26,843.474
AM03-r04,AM03,ambiguous,4,planner_rejected,,True,False,True,1,248.897,249.04
AM03-r05,AM03,ambiguous,5,planner_rejected,,True,False,True,1,253.499,253.62
AM04-r01,AM04,ambiguous,1,planner_rejected,,True,False,True,1,222.183,222.314
AM04-r02,AM04,ambiguous,2,planner_rejected,,True,False,True,1,236.743,236.879
AM04-r03,AM04,ambiguous,3,planner_rejected,,True,False,True,1,228.452,228.621
AM04-r04,AM04,ambiguous,4,planner_rejected,,True,False,True,1,253.118,253.233
AM04-r05,AM04,ambiguous,5,planner_rejected,,True,False,True,1,279.646,279.823
AM05-r01,AM05,ambiguous,1,planner_rejected,,True,False,True,1,303.325,303.469
AM05-r02,AM05,ambiguous,2,planner_rejected,,True,False,True,1,256.027,256.145
AM05-r03,AM05,ambiguous,3,planner_rejected,,True,False,True,1,270.858,270.983
AM05-r04,AM05,ambiguous,4,planner_rejected,,True,False,True,1,248.723,248.835
AM05-r05,AM05,ambiguous,5,planner_rejected,,True,False,True,1,275.338,275.453
IP01-r01,IP01,invalid_precondition,1,planner_rejected,,True,False,True,1,220.416,220.532
IP01-r02,IP01,invalid_precondition,2,planner_rejected,,True,False,True,1,302.394,302.506
IP01-r03,IP01,invalid_precondition,3,planner_rejected,,True,False,True,1,225.809,225.962
IP01-r04,IP01,invalid_precondition,4,planner_rejected,,True,False,True,1,318.889,319.042
IP01-r05,IP01,invalid_precondition,5,planner_rejected,,True,False,True,1,230.328,230.445
IP02-r01,IP02,invalid_precondition,1,planner_rejected,,True,False,True,1,221.81,221.963
IP02-r02,IP02,invalid_precondition,2,planner_rejected,,True,False,True,1,250.773,250.889
IP02-r03,IP02,invalid_precondition,3,planner_rejected,,True,False,True,1,212.806,212.917
IP02-r04,IP02,invalid_precondition,4,planner_rejected,,True,False,True,1,227.152,227.267
IP02-r05,IP02,invalid_precondition,5,planner_rejected,,True,False,True,1,211.882,211.995
IP03-r01,IP03,invalid_precondition,1,planner_rejected,,True,False,True,1,256.411,256.542
IP03-r02,IP03,invalid_precondition,2,planner_rejected,,True,False,True,1,216.107,216.229
IP03-r03,IP03,invalid_precondition,3,planner_rejected,,True,False,True,1,212.946,213.091
IP03-r04,IP03,invalid_precondition,4,planner_rejected,,True,False,True,1,222.829,222.986
IP03-r05,IP03,invalid_precondition,5,planner_rejected,,True,False,True,1,281.501,281.661
IP04-r01,IP04,invalid_precondition,1,planner_rejected,,True,False,True,1,255.675,255.792
IP04-r02,IP04,invalid_precondition,2,planner_rejected,,True,False,True,1,264.525,264.664
IP04-r03,IP04,invalid_precondition,3,planner_rejected,,True,False,True,1,251.334,251.449
IP04-r04,IP04,invalid_precondition,4,planner_rejected,,True,False,True,1,250.625,250.748
IP04-r05,IP04,invalid_precondition,5,planner_rejected,,True,False,True,1,244.741,244.9
IP05-r01,IP05,invalid_precondition,1,planner_rejected,,True,False,True,1,229.912,230.078
IP05-r02,IP05,invalid_precondition,2,planner_rejected,,True,False,True,1,319.916,320.041
IP05-r03,IP05,invalid_precondition,3,planner_rejected,,True,False,True,1,277.517,277.632
IP05-r04,IP05,invalid_precondition,4,planner_rejected,,True,False,True,1,216.783,216.908
IP05-r05,IP05,invalid_precondition,5,planner_rejected,,True,False,True,1,231.916,232.061
IP06-r01,IP06,invalid_precondition,1,planner_rejected,,True,False,True,1,290.912,291.024
IP06-r02,IP06,invalid_precondition,2,planner_rejected,,True,False,True,1,246.369,246.509
IP06-r03,IP06,invalid_precondition,3,planner_rejected,,True,False,True,1,225.224,225.399
